Ticker,Year,Month,Monthly_Return_Percentage,Date
AXP,2016,7,5.634728053285223,2016-07-01
AXP,2016,8,1.205903778374012,2016-08-01
AXP,2016,9,-1.1625993086634459,2016-09-01
AXP,2016,10,3.899550906452704,2016-10-01
AXP,2016,11,9.22042270791108,2016-11-01
AXP,2016,12,2.197459432761145,2016-12-01
AXP,2017,1,3.6362465971408784,2017-01-01
AXP,2017,2,6.562378364534221,2017-02-01
AXP,2017,3,-3.415134109396655,2017-03-01
AXP,2017,4,0.3667218831139073,2017-04-01
AXP,2017,5,-1.1410810057851242,2017-05-01
AXP,2017,6,7.3733788813023935,2017-06-01
AXP,2017,7,1.2330242409974457,2017-07-01
AXP,2017,8,1.1021836438904713,2017-08-01
AXP,2017,9,4.9524244441282494,2017-09-01
AXP,2017,10,5.7932862104587945,2017-10-01
AXP,2017,11,2.197055188008632,2017-11-01
AXP,2017,12,1.5171439758547016,2017-12-01
AXP,2018,1,0.754147010113815,2018-01-01
AXP,2018,2,-4.346051528528632,2018-02-01
AXP,2018,3,-1.7576109829359994,2018-03-01
AXP,2018,4,5.974041789318849,2018-04-01
AXP,2018,5,-0.22165262407148273,2018-05-01
AXP,2018,6,-0.18170432265514191,2018-06-01
AXP,2018,7,1.6258162695398166,2018-07-01
AXP,2018,8,6.417908796858776,2018-08-01
AXP,2018,9,1.8705124601710872,2018-09-01
AXP,2018,10,-3.366069534381401,2018-10-01
AXP,2018,11,7.83427278733905,2018-11-01
AXP,2018,12,-15.812651748960462,2018-12-01
AXP,2019,1,7.98082602416369,2019-01-01
AXP,2019,2,5.5580797558848465,2019-02-01
AXP,2019,3,2.646608774551949,2019-03-01
AXP,2019,4,4.7355763061484435,2019-04-01
AXP,2019,5,-1.8727066639484684,2019-05-01
AXP,2019,6,8.614020100352334,2019-06-01
AXP,2019,7,-0.5663426876407238,2019-07-01
AXP,2019,8,-2.756388945390048,2019-08-01
AXP,2019,9,-2.9749025438898355,2019-09-01
AXP,2019,10,2.269733149272252,2019-10-01
AXP,2019,11,0.8576418510915614,2019-11-01
AXP,2019,12,3.682954209785306,2019-12-01
AXP,2020,1,4.439784861942966,2020-01-01
AXP,2020,2,-16.15541801674291,2020-02-01
AXP,2020,3,-24.76960959804389,2020-03-01
AXP,2020,4,15.259354061664363,2020-04-01
AXP,2020,5,10.797955931792593,2020-05-01
AXP,2020,6,-1.744235594768283,2020-06-01
AXP,2020,7,-0.42849837198076746,2020-07-01
AXP,2020,8,9.668222822775709,2020-08-01
AXP,2020,9,-0.71988177410041,2020-09-01
AXP,2020,10,-10.04786405962885,2020-10-01
AXP,2020,11,29.835020772076692,2020-11-01
AXP,2020,12,0.9766323731623318,2020-12-01
AXP,2021,1,-2.740941682546536,2021-01-01
AXP,2021,2,17.328975354819587,2021-02-01
AXP,2021,3,4.511124499958154,2021-03-01
AXP,2021,4,6.0913505914595305,2021-04-01
AXP,2021,5,6.710242050336307,2021-05-01
AXP,2021,6,2.162631574884329,2021-06-01
AXP,2021,7,2.43403374826423,2021-07-01
AXP,2021,8,-3.452890102890411,2021-08-01
AXP,2021,9,5.943542340869695,2021-09-01
AXP,2021,10,0.5155382293531062,2021-10-01
AXP,2021,11,-14.344098916677392,2021-11-01
AXP,2021,12,9.007822801299088,2021-12-01
AXP,2022,1,12.192397896115244,2022-01-01
AXP,2022,2,-2.4422596458477095,2022-02-01
AXP,2022,3,5.811514437827874,2022-03-01
AXP,2022,4,-6.521483234741073,2022-04-01
AXP,2022,5,-4.487087548889444,2022-05-01
AXP,2022,6,-15.852672649924227,2022-06-01
AXP,2022,7,9.111381865781704,2022-07-01
AXP,2022,8,-1.208413195598374,2022-08-01
AXP,2022,9,-10.850165168787997,2022-09-01
AXP,2022,10,9.200210378108235,2022-10-01
AXP,2022,11,7.34835962442847,2022-11-01
AXP,2022,12,-6.203602844435759,2022-12-01
AXP,2023,1,16.908689754752242,2023-01-01
AXP,2023,2,1.4423834996997058,2023-02-01
AXP,2023,3,-5.834390178086593,2023-03-01
AXP,2023,4,-3.304285552486212,2023-04-01
AXP,2023,5,2.502652520630697,2023-05-01
AXP,2023,6,6.975168573504856,2023-06-01
AXP,2023,7,-2.4116353282053242,2023-07-01
AXP,2023,8,-5.989701352607035,2023-08-01
AXP,2023,9,-6.647124526078585,2023-09-01
AXP,2023,10,-1.5293649138238956,2023-10-01
AXP,2023,11,17.269913608766103,2023-11-01
AXP,2023,12,7.712636023240135,2023-12-01
AXP,2024,1,8.486369866800448,2024-01-01
AXP,2024,2,7.847958185919462,2024-02-01
AXP,2024,3,3.682056416218745,2024-03-01
AXP,2024,4,2.0317109905584303,2024-04-01
AXP,2024,5,3.7223966022419126,2024-05-01
AXP,2024,6,-2.4921163587063853,2024-06-01
