Date,Ticker,Daily_Return_Percentage,Z_Score
2022-11-29,MA,3.867338810175843,2.174029975082464
2013-01-01,MA,3.865419167197289,2.1729232136148267
2021-11-09,MA,3.8561003648183094,2.167550500296359
2011-11-27,MA,3.7695348187017017,2.117641526629285
2010-07-06,MA,3.7694701232534875,2.117604226761541
2022-10-12,MA,3.7334942282853847,2.0968624874072512
2010-02-28,MA,3.7304745465562767,2.0951215035786737
2018-10-15,MA,3.724044316139161,2.0914141833461097
2022-10-03,MA,3.714536771842505,2.0859326517295798
2016-02-29,MA,3.6585561863357965,2.0536572986213337
2014-01-27,MA,3.655428149521504,2.051853843158997
2022-05-22,MA,3.643873838970112,2.045192257725529
2014-04-13,MA,3.640069996157997,2.0429991693750225
2024-07-30,MA,3.6339208413125537,2.039453901990669
2015-02-11,MA,3.6230405435101822,2.033180915555892
2010-08-08,MA,3.601365050790997,2.020684008369684
2022-05-12,MA,3.5985677304035626,2.019071225965854
2021-09-30,MA,3.595274850541196,2.017172730990517
2011-09-29,MA,-3.413837478035737,-2.0238992465984538
2012-01-19,MA,-3.4684020395295287,-2.0553581974734443
2021-02-24,MA,-3.4710708496957605,-2.0568968878911016
2018-02-04,MA,-3.494575535791632,-2.0704484082365227
2014-04-10,MA,-3.4986381161676516,-2.072790670558001
2024-02-19,MA,-3.499030126550997,-2.073016682369597
2020-10-25,MA,-3.5041129753858917,-2.0759471758515273
2021-12-19,MA,-3.5183884495867868,-2.0841776358663897
2010-11-11,MA,-3.530771126503448,-2.0913168121771246
2010-08-01,MA,-3.580283016762795,-2.1198626683290875
2015-08-31,MA,-3.5942101361006085,-2.127892285924901
2011-09-20,MA,-3.6208849680230024,-2.1432715394930018
2012-05-31,MA,-3.6234952891277215,-2.144776508307067
2022-04-21,MA,-3.638456881239238,-2.1534025464967335
2019-06-02,MA,-3.6701351328898566,-2.171666499054948
2022-06-08,MA,-3.678959179390288,-2.176753963111766
2022-08-25,MA,-3.68758362886306,-2.1817263504060107
2021-01-26,MA,-3.725963833701723,-2.203854283730078
2011-10-31,MA,-3.7265325942471277,-2.2041822000473297
2017-11-28,MA,-3.787507634488241,-2.2393370834190947
2010-05-17,MA,-3.7948919626284967,-2.243594484374027
